TKR,QTY
600373.SH,0
603077.SH,2400
300363.SZ,0
601328.SH,0
600739.SH,0
600998.SH,10
300146.SZ,0
301236.SZ,0
603179.SH,0
600637.SH,400
002468.SZ,0
605358.SH,-100
600118.SH,0
000898.SZ,0
600552.SH,0
300296.SZ,0
300850.SZ,0
601966.SH,0
300058.SZ,-100
600521.SH,0
300682.SZ,0
603596.SH,0
600704.SH,0
300373.SZ,0
000933.SZ,0
300118.SZ,0
601928.SH,0
600398.SH,100
002670.SZ,0
000810.SZ,0
603127.SH,-100
002032.SZ,0
002465.SZ,0
300026.SZ,0
300395.SZ,0
601918.SH,2600
300724.SZ,-100
000960.SZ,0
600511.SH,0
600995.SH,0
002508.SZ,0
601198.SH,100
002939.SZ,0
002244.SZ,0
601990.SH,0
000066.SZ,-100
000401.SZ,0
002131.SZ,2900
000830.SZ,0
601216.SH,0
600497.SH,100
002152.SZ,0
000970.SZ,0
601577.SH,100
600166.SH,0
002518.SZ,0
600985.SH,100
300487.SZ,0
002317.SZ,-400
600873.SH,0
601828.SH,0
600298.SH,0
002281.SZ,0
000402.SZ,100
600667.SH,-1100
601611.SH,0
000988.SZ,0
000729.SZ,0
002653.SZ,0
300677.SZ,0
600008.SH,1700
601866.SH,100
603606.SH,0
000156.SZ,0
000739.SZ,0
000998.SZ,0
300298.SZ,-200
600863.SH,0
600116.SH,0
002568.SZ,0
603658.SH,0
601699.SH,0
600350.SH,0
600737.SH,100
000963.SZ,0
300502.SZ,0
300604.SZ,0
601228.SH,0
600056.SH,0
300888.SZ,0
600885.SH,0
600066.SH,0
300253.SZ,0
600597.SH,0
002610.SZ,-8900
601088.SH,0
600499.SH,0
600707.SH,0
600764.SH,0
002558.SZ,0
600126.SH,0
300285.SZ,0
002867.SZ,0
601825.SH,0
000930.SZ,0
300136.SZ,0
600970.SH,0
000709.SZ,1500
002673.SZ,0
002506.SZ,1700
600820.SH,0
600717.SH,-9300
601098.SH,0
601000.SH,100
601958.SH,0
002408.SZ,-100
600895.SH,0
002600.SZ,0
600038.SH,0
601880.SH,0
300376.SZ,0
601118.SH,100
600143.SH,0
601016.SH,0
600060.SH,0
601233.SH,0
300070.SZ,0
003022.SZ,0
601058.SH,0
300474.SZ,-100
603568.SH,0
002384.SZ,-300
600641.SH,4200
601156.SH,0
002756.SZ,0
600328.SH,0
600928.SH,100
002044.SZ,0
000559.SZ,0
002423.SZ,0
002500.SZ,0
601108.SH,0
600711.SH,0
600153.SH,0
600315.SH,0
002563.SZ,0
603317.SH,0
300003.SZ,0
600956.SH,0
600390.SH,0
600096.SH,0
600325.SH,100
002841.SZ,-100
002738.SZ,0
002683.SZ,0
000958.SZ,0
603267.SH,0
002372.SZ,0
600529.SH,0
000975.SZ,100
603456.SH,0
300567.SZ,500
600335.SH,-1300
600848.SH,0
000537.SZ,0
300390.SZ,0
000825.SZ,0
600380.SH,0
002222.SZ,-300
002460.SZ,-900
002399.SZ,0
002241.SZ,100
603688.SH,50
002064.SZ,0
600258.SH,0
002595.SZ,0
603379.SH,0
300529.SZ,0
603786.SH,0
603927.SH,0
601128.SH,70
600482.SH,0
002294.SZ,0
000581.SZ,0
601933.SH,-100
002463.SZ,0
000519.SZ,0
600968.SH,0
002192.SZ,0
002608.SZ,0
300601.SZ,0
002625.SZ,0
600481.SH,0
600378.SH,0
300699.SZ,0
002498.SZ,-200
600170.SH,0
601298.SH,0
002690.SZ,0
002831.SZ,0
600517.SH,0
300383.SZ,0
300866.SZ,0
000060.SZ,100
000883.SZ,100
600549.SH,0
601158.SH,0
000591.SZ,0
600095.SH,0
600699.SH,0
600160.SH,0
000547.SZ,0
000878.SZ,0
600582.SH,700
003031.SZ,-40
600906.SH,4200
002262.SZ,0
600256.SH,700
600808.SH,100
603650.SH,0
601168.SH,0
002299.SZ,0
001203.SZ,0
600316.SH,0
000050.SZ,0
000539.SZ,0
603939.SH,40
600348.SH,0
603882.SH,0
002430.SZ,0
300073.SZ,0
600246.SH,-100
600642.SH,0
002019.SZ,0
600208.SH,1600
